"Status","Name","Duration in ms","Description"
"broken","Testcase.author.test_author.Test_Login#test_talent_broadcast","19673",""
"passed","Testcase.author.test_author.Test_Login#test_author_message_dark_horse","14981",""
"passed","Testcase.login.test_login.Test_Login#test_login","20178",""
"passed","Testcase.author.test_author.Test_Login#test_click_goods_type","88992",""
"passed","Testcase.author.test_author.Test_Login#test_search_author","15155",""
"passed","Testcase.author.test_author.Test_Login#test_author_message_shop","14965",""
"passed","Testcase.author.test_author.Test_Login#test_author_message_product_window","14690",""
"passed","Testcase.author.test_author.Test_Login#test_author_message_show_news","15175",""
"passed","Testcase.author.test_author.Test_Login#test_author_message_star_map","14640",""
"broken","Testcase.login.test_login.Test_Login#test_code_login","11978",""
"passed","Testcase.author.test_author.Test_Login#test_click_Brand_self_broadcast","15594",""
"passed","Testcase.author.test_author.Test_Login#test_author_have_contact_information","17267",""
"broken","Testcase.login.test_login.Test_Login#test_forget_password","18622",""
"passed","Testcase.author.test_author.Test_Login#test_click_star_type","102193",""
